,accuracy
0,0.029333333333333333
1,0.021333333333333333
2,0.02666666666666667
3,0.018666666666666668
4,0.02666666666666667
5,0.016
6,0.021333333333333333
7,0.018666666666666668
8,0.008
9,0.005333333333333333
10,0.005333333333333333
11,0.005333333333333333
12,0.005333333333333333
13,0.005333333333333333
14,0.005333333333333333
15,0.005333333333333333
16,0.005333333333333333
17,0.005333333333333333
18,0.005333333333333333
19,0.005333333333333333
20,0.005333333333333333
21,0.005333333333333333
22,0.005333333333333333
23,0.005333333333333333
24,0.005333333333333333
25,0.005333333333333333
26,0.005333333333333333
27,0.005333333333333333
28,0.005333333333333333
29,0.005333333333333333
