,elapsed_time
0,8.687871742993593
1,17.3727569822222
2,26.47166606038809
3,35.09162958525121
4,43.73457321897149
5,52.368873946368694
6,61.00077352672815
7,69.72144020535052
8,78.38427696190774
9,87.06085865013301
10,95.73205644264817
11,104.37103180959821
12,113.03078692406416
13,121.70097062923014
14,130.3487745616585
15,138.97980616241693
16,147.59895750693977
17,156.19292837195098
18,164.8044340517372
19,173.37185697071254
20,181.93471428193152
21,190.51227135024965
22,199.1011113859713
23,207.6878405380994
24,216.30779975652695
25,224.89882802776992
26,233.48506444692612
27,242.0643870588392
28,250.64137333631516
29,259.2559174094349
